Symbol,Name
AAPL,Apple Inc.
ADBE,Adobe Inc.
ADI,Analog Devices.
ADP,Automatic Data Processing.
ADSK,Autodesk.
AEP,American Electric Power Company.
ALGN,Align Technology.
AMAT,Applied Materials.
AMD,Advanced Micro Devices.
AMGN,Amgen Inc.
AMZN,Amazon.com.
ANSS,ANSYS.
ASML,ASML Holding N.V.
ATVI,Activision Blizzard.
AVGO,Broadcom Inc.
BIDU,Baidu. ADS
BIIB,Biogen Inc.
BKNG,Booking Holdings Inc.
CDNS,Cadence Design Systems.
CDW,CDW Corporation
CERN,Cerner Corporation
CHKP,Check Point Software Technologies Ltd.
CHTR,Charter Communications. Class A New
CMCSA,Comcast Corporation Class A
COST,Costco Wholesale Corporation
CPRT,Copart. (DE)
CRWD,CrowdStrike Holdings. Class A
CSCO,Cisco Systems. (DE)
CSX,CSX Corporation
CTAS,Cintas Corporation
CTSH,Cognizant Technology Solutions Corporation Class A
DLTR,Dollar Tree Inc.
DOCU,DocuSign.
DXCM,DexCom.
EA,Electronic Arts Inc.
EBAY,eBay Inc.
EXC,Exelon Corporation
FAST,Fastenal Company
FB,Facebook. Class A
FISV,Fiserv.
FOX,Fox Corporation Class B
FOXA,Fox Corporation Class A
GILD,Gilead Sciences.
GOOG,Alphabet Inc. Class C
GOOGL,Alphabet Inc. Class A
HON,Honeywell International Inc.
IDXX,IDEXX Laboratories.
ILMN,Illumina.
INCY, Incyte Corp.
INTC,Intel Corporation
INTU,Intuit Inc.
ISRG,Intuitive Surgical.
JD,JD.com. American
KDP,Keurig Dr Pepper Inc.
KHC,The Kraft Heinz Company
KLAC,KLA Corporation
LRCX,Lam Research Corporation
LULU,lululemon athletica inc.
MAR,Marriott International Class A
MCHP,Microchip Technology Incorporated
MDLZ,Mondelez International. Class A
MELI,MercadoLibre.
MNST,Monster Beverage Corporation
MRNA,Moderna.
MRVL,Marvell Technology.
MSFT,Microsoft Corporation
MTCH,Match Group.
MU,Micron Technology.
NFLX,Netflix.
NTES,NetEase. American
NVDA,NVIDIA Corporation
NXPI,NXP Semiconductors N.V.
OKTA,Okta. Class A
ORLY,O'Reilly Automotive.
PAYX,Paychex.
PCAR,PACCAR Inc.
PDD,Pinduoduo Inc. American
PEP,PepsiCo.
PTON,Peloton Interactive. Class A
PYPL,PayPal Holdings.
QCOM,QUALCOMM Incorporated
REGN,Regeneron Pharmaceuticals.
ROST,Ross Stores.
SBUX,Starbucks Corporation
SGEN,Seagen Inc.
SIRI,Sirius XM Holdings Inc.
SNPS,Synopsys.
SPLK,Splunk Inc.
SWKS,Skyworks Solutions.
TCOM,Trip.com Group Limited American
TEAM,Atlassian Corporation Plc Class A
TMUS,T-Mobile US.
TSLA,Tesla.
TXN,Texas Instruments Incorporated
VRSK,Verisk Analytics.
VRSN,VeriSign.
VRTX,Vertex Pharmaceuticals Incorporated
WBA,Walgreens Boots Alliance.
WDAY,Workday. Class A
XEL,Xcel Energy Inc.
XLNX,Xilinx.
ZM,Zoom Video Communications. Class A